iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
2185,1.0,2185.0,26.40811,0.363,0.58,11.013
4371,1.0,4371.0,24.89297,0.282,0.578,10.963
6557,1.0,6557.0,23.93667,0.254,0.561,10.82
8743,1.0,8743.0,23.28548,0.236,0.537,10.703
10929,1.0,10929.0,22.78313,0.232,0.526,10.596
13115,1.0,13115.0,22.39189,0.228,0.524,10.538
15301,1.0,15301.0,22.06132,0.226,0.515,10.505
17487,1.0,17487.0,21.79032,0.225,0.519,10.481
19673,1.0,19673.0,21.5435,0.223,0.515,10.472
21859,1.0,21859.0,21.32917,0.221,0.512,10.433
24045,2.0,2176.0,19.17795,0.219,0.509,10.426
26231,2.0,4362.0,19.07396,0.218,0.509,10.416
28417,2.0,6548.0,18.98858,0.217,0.507,10.397
30603,2.0,8734.0,18.90141,0.216,0.506,10.386
32789,2.0,10920.0,18.80553,0.216,0.504,10.372
34975,2.0,13106.0,18.7315,0.214,0.505,10.355
37161,2.0,15292.0,18.65145,0.215,0.501,10.347
39347,2.0,17478.0,18.58155,0.215,0.503,10.335
41533,2.0,19664.0,18.50782,0.214,0.498,10.335
43719,2.0,21850.0,18.44257,0.213,0.499,10.317
45905,3.0,2167.0,17.71655,0.214,0.495,10.31
48091,3.0,4353.0,17.66821,0.213,0.495,10.288
50277,3.0,6539.0,17.61006,0.213,0.495,10.284
52463,3.0,8725.0,17.5585,0.213,0.494,10.274
54649,3.0,10911.0,17.50448,0.213,0.492,10.246
56835,3.0,13097.0,17.46254,0.212,0.493,10.235
59021,3.0,15283.0,17.41873,0.212,0.494,10.218
61207,3.0,17469.0,17.38211,0.213,0.495,10.216
63393,3.0,19655.0,17.33833,0.212,0.49,10.215
65579,3.0,21841.0,17.30054,0.211,0.491,10.187
67765,4.0,2158.0,16.89036,0.211,0.489,10.173
69951,4.0,4344.0,16.86072,0.21,0.491,10.156
72137,4.0,6530.0,16.82715,0.209,0.489,10.147
74323,4.0,8716.0,16.79751,0.209,0.489,10.141
76509,4.0,10902.0,16.76617,0.209,0.489,10.103
78695,4.0,13088.0,16.74117,0.208,0.489,10.094
