iteration,epoch,minibatch,8,16,32,64,128
2185,1,2185,0.368,0.368,0.368,0.363,0.353
4371,1,4371,0.368,0.367,0.337,0.282,0.252
6557,1,6557,0.368,0.362,0.287,0.254,0.238
8743,1,8743,0.368,0.343,0.267,0.236,0.235
10929,1,10929,0.368,0.3,0.251,0.232,0.232
13115,1,13115,0.367,0.262,0.237,0.228,0.227
15301,1,15301,0.36,0.258,0.236,0.226,0.221
17487,1,17487,0.325,0.261,0.236,0.225,0.219
19673,1,19673,0.282,0.27,0.235,0.223,0.217
21859,1,21859,0.275,0.261,0.233,0.221,0.216
24045,2,2176,0.272,0.265,0.231,0.219,0.216
26231,2,4362,0.27,0.26,0.229,0.218,0.214
28417,2,6548,0.269,0.258,0.227,0.217,0.215
30603,2,8734,0.262,0.253,0.225,0.216,0.214
32789,2,10920,0.256,0.245,0.225,0.216,0.214
34975,2,13106,0.251,0.242,0.222,0.214,0.213
37161,2,15292,0.244,0.232,0.222,0.215,0.213
39347,2,17478,0.237,0.23,0.221,0.215,0.213
41533,2,19664,0.235,0.229,0.221,0.214,0.211
43719,2,21850,0.232,0.228,0.22,0.213,0.211
45905,3,2167,0.228,0.228,0.219,0.214,0.21
48091,3,4353,0.225,0.224,0.218,0.213,0.208
50277,3,6539,0.222,0.226,0.217,0.213,0.208
52463,3,8725,0.22,0.223,0.217,0.213,0.208
54649,3,10911,0.22,0.221,0.217,0.213,0.207
56835,3,13097,0.219,0.221,0.216,0.212,0.206
59021,3,15283,0.219,0.22,0.216,0.212,0.205
61207,3,17469,0.219,0.219,0.216,0.213,0.204
63393,3,19655,0.219,0.219,0.216,0.212,0.204
65579,3,21841,0.218,0.22,0.216,0.211,0.204
67765,4,2158,0.219,0.219,0.216,0.211,0.203
69951,4,4344,0.219,0.219,0.216,0.21,0.202
72137,4,6530,0.219,0.219,0.216,0.209,0.201
74323,4,8716,0.218,0.219,0.216,0.209,0.202
76509,4,10902,0.219,0.219,0.216,0.209,0.202
78695,4,13088,0.219,0.219,0.216,0.208,0.201
80881,4,15274,0.219,0.219,0.216,0.208,0.201
83067,4,17460,0.219,0.219,0.216,0.208,0.2
85253,4,19646,0.219,0.219,0.216,0.207,0.2
