iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
2185,1.0,2185.0,29.31228,0.368,0.596,10.962
4371,1.0,4371.0,27.4433,0.367,0.59,10.782
6557,1.0,6557.0,26.52369,0.362,0.587,10.823
8743,1.0,8743.0,25.85996,0.344,0.583,10.846
10929,1.0,10929.0,25.3228,0.296,0.579,10.873
13115,1.0,13115.0,24.89555,0.262,0.573,10.892
15301,1.0,15301.0,24.52613,0.264,0.55,10.891
17487,1.0,17487.0,24.21575,0.26,0.543,10.888
19673,1.0,19673.0,23.93518,0.265,0.536,10.881
21859,1.0,21859.0,23.69646,0.265,0.529,10.897
24045,2.0,2176.0,21.29771,0.262,0.527,10.904
26231,2.0,4362.0,21.23154,0.26,0.522,10.922
28417,2.0,6548.0,21.14545,0.258,0.521,10.928
30603,2.0,8734.0,21.06345,0.253,0.522,10.933
32789,2.0,10920.0,20.97869,0.246,0.522,10.942
34975,2.0,13106.0,20.91957,0.239,0.522,10.933
37161,2.0,15292.0,20.8559,0.232,0.524,10.922
39347,2.0,17478.0,20.80051,0.23,0.521,10.905
41533,2.0,19664.0,20.73947,0.229,0.523,10.878
43719,2.0,21850.0,20.68447,0.228,0.523,10.862
45905,3.0,2167.0,20.10502,0.225,0.525,10.826
48091,3.0,4353.0,20.07816,0.225,0.523,10.794
50277,3.0,6539.0,20.03256,0.224,0.519,10.754
52463,3.0,8725.0,19.98407,0.221,0.517,10.718
54649,3.0,10911.0,19.94081,0.221,0.516,10.683
56835,3.0,13097.0,19.90573,0.221,0.515,10.641
59021,3.0,15283.0,19.86912,0.22,0.515,10.603
61207,3.0,17469.0,19.84235,0.219,0.514,10.567
63393,3.0,19655.0,19.80674,0.219,0.513,10.529
65579,3.0,21841.0,19.77614,0.218,0.513,10.498
67765,4.0,2158.0,19.42138,0.219,0.512,10.462
69951,4.0,4344.0,19.41219,0.22,0.513,10.429
72137,4.0,6530.0,19.38907,0.22,0.512,10.402
74323,4.0,8716.0,19.35524,0.219,0.512,10.374
76509,4.0,10902.0,19.31853,0.219,0.512,10.348
78695,4.0,13088.0,19.29884,0.219,0.512,10.322
80881,4.0,15274.0,19.26854,0.219,0.513,10.299
83067,4.0,17460.0,19.25158,0.219,0.512,10.275
85253,4.0,19646.0,19.22394,0.219,0.513,10.254
87439,4.0,21832.0,19.20258,0.219,0.512,10.235
89625,5.0,2149.0,18.91758,0.219,0.511,10.217
91811,5.0,4335.0,18.91855,0.219,0.511,10.195
93997,5.0,6521.0,18.89336,0.219,0.511,10.181
96183,5.0,8707.0,18.87821,0.219,0.511,10.169
98369,5.0,10893.0,18.85573,0.219,0.511,10.156
100555,5.0,13079.0,18.84059,0.219,0.511,10.143
102741,5.0,15265.0,18.81957,0.219,0.512,10.131
104927,5.0,17451.0,18.80668,0.219,0.513,10.12
107113,5.0,19637.0,18.78425,0.219,0.511,10.115
109299,5.0,21823.0,18.76682,0.218,0.512,10.107
111485,6.0,2140.0,18.55032,0.217,0.51,10.1
113671,6.0,4326.0,18.53388,0.217,0.511,10.092
115857,6.0,6512.0,18.51268,0.217,0.512,10.088
118043,6.0,8698.0,18.49609,0.217,0.511,10.086
120229,6.0,10884.0,18.47323,0.217,0.511,10.082
122415,6.0,13070.0,18.45833,0.217,0.512,10.08
124601,6.0,15256.0,18.43944,0.217,0.512,10.078
126787,6.0,17442.0,18.42677,0.215,0.513,10.075
128973,6.0,19628.0,18.40445,0.214,0.513,10.075
131159,6.0,21814.0,18.38693,0.214,0.512,10.073
133345,7.0,2131.0,18.1841,0.214,0.513,10.07
135531,7.0,4317.0,18.16943,0.214,0.512,10.069
137717,7.0,6503.0,18.1532,0.213,0.512,10.068
139903,7.0,8689.0,18.13281,0.213,0.513,10.068
142089,7.0,10875.0,18.10985,0.213,0.511,10.066
144275,7.0,13061.0,18.09606,0.213,0.513,10.065
146461,7.0,15247.0,18.07899,0.213,0.512,10.061
148647,7.0,17433.0,18.06417,0.212,0.513,10.055
150833,7.0,19619.0,18.04476,0.212,0.514,10.052
153019,7.0,21805.0,18.03126,0.212,0.513,10.049
155205,8.0,2122.0,17.84692,0.211,0.513,10.044
157391,8.0,4308.0,17.84244,0.21,0.512,10.039
159577,8.0,6494.0,17.82115,0.21,0.513,10.032
161763,8.0,8680.0,17.7945,0.21,0.513,10.027
163949,8.0,10866.0,17.77485,0.209,0.513,10.022
166135,8.0,13052.0,17.76701,0.21,0.512,10.014
168321,8.0,15238.0,17.75199,0.209,0.511,10.007
170507,8.0,17424.0,17.74047,0.209,0.513,9.995
172693,8.0,19610.0,17.72391,0.209,0.513,9.987
174879,8.0,21796.0,17.7156,0.209,0.513,9.98
177065,9.0,2113.0,17.56641,0.209,0.512,9.968
179251,9.0,4299.0,17.5485,0.209,0.512,9.96
181437,9.0,6485.0,17.54223,0.209,0.513,9.951
183623,9.0,8671.0,17.52756,0.209,0.513,9.942
185809,9.0,10857.0,17.50946,0.209,0.513,9.933
187995,9.0,13043.0,17.5027,0.209,0.513,9.921
190181,9.0,15229.0,17.49278,0.209,0.512,9.909
192367,9.0,17415.0,17.48621,0.209,0.513,9.897
194553,9.0,19601.0,17.47224,0.209,0.513,9.888
196739,9.0,21787.0,17.46654,0.209,0.513,9.878
198925,10.0,2104.0,17.35702,0.209,0.513,9.866
201111,10.0,4290.0,17.34949,0.208,0.513,9.856
203297,10.0,6476.0,17.33093,0.208,0.513,9.849
205483,10.0,8662.0,17.31871,0.208,0.513,9.84
207669,10.0,10848.0,17.3049,0.208,0.513,9.831
209855,10.0,13034.0,17.29589,0.208,0.514,9.82
212041,10.0,15220.0,17.28872,0.208,0.512,9.81
214227,10.0,17406.0,17.28299,0.208,0.513,9.799
216413,10.0,19592.0,17.27204,0.208,0.513,9.792
218599,10.0,21778.0,17.26813,0.208,0.513,9.784
220785,11.0,2095.0,17.15026,0.208,0.513,9.775
222971,11.0,4281.0,17.14174,0.208,0.513,9.767
225157,11.0,6467.0,17.13939,0.208,0.513,9.76
227343,11.0,8653.0,17.13151,0.208,0.513,9.751
229529,11.0,10839.0,17.12192,0.208,0.513,9.744
231715,11.0,13025.0,17.11671,0.208,0.513,9.735
233901,11.0,15211.0,17.10828,0.208,0.512,9.726
236087,11.0,17397.0,17.10648,0.208,0.514,9.72
238273,11.0,19583.0,17.0976,0.208,0.514,9.712
240459,11.0,21769.0,17.09219,0.208,0.513,9.705
242645,12.0,2086.0,17.02282,0.208,0.512,9.698
244831,12.0,4272.0,17.02699,0.208,0.513,9.691
247017,12.0,6458.0,17.02125,0.207,0.513,9.686
249203,12.0,8644.0,17.0074,0.207,0.513,9.678
251389,12.0,10830.0,16.99963,0.207,0.512,9.671
253575,12.0,13016.0,16.99658,0.207,0.512,9.664
255761,12.0,15202.0,16.99164,0.207,0.512,9.657
257947,12.0,17388.0,16.99021,0.207,0.513,9.651
260133,12.0,19574.0,16.98316,0.207,0.513,9.646
262319,12.0,21760.0,16.97903,0.207,0.513,9.641
264505,13.0,2077.0,16.90181,0.207,0.512,9.634
266691,13.0,4263.0,16.90485,0.206,0.513,9.628
268877,13.0,6449.0,16.89696,0.206,0.513,9.625
271063,13.0,8635.0,16.88571,0.206,0.512,9.62
273249,13.0,10821.0,16.87723,0.207,0.512,9.614
275435,13.0,13007.0,16.86601,0.206,0.513,9.608
